ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"          Afghanistan",49,47,53,60,45,47,48,60,59,46.4,60.36,49.88,50,53,58,70,64.03,73.93000000000001,67.36,66.41,71.81999999999999,81.92,85.56999999999999,99.65000000000001,122.47,143.21,230,217.38,291.32,306.14,320.69,474.03,670.23,694.27,707.62,728.6,632.9,566.83,551.9,511.86,394.65,235.94,235.1,189,181,688,105,166.06,128.256,144.369,159.225,166.241,137.312,68,100,144,305,384,416,454,540.066,403.441,388.484,375.851,428.903,514.972,570.434007,571.405,596.455,780,875.241
"          Albania","..","..",6,9,13,11,10,13,19,29,29,34,49,49,41,48,60,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",258.293,305.3,230,100,70,122.463,139.55,202.028,207.432,138.999,204.746,350.667289,261.48,307.19,339.55,447.95,605.4,658,798,1077.58,1354.83,1090.6,1544.613,1951.044,1967.989,2331.584857,2430.63231,1929.638179,1962.11432,2301.443098,2875.841089
"          Algeria",417.71,334.516,333.238,383.429,415.143,396.571,401.143,463.143,428.857,466.713,482.115,365.602,394.162,367.425,192.22,758.751,727.153,637.221,621.22,723.305,830.049,933.957,1008.7,856.566,1304.18,1887.45,4686.72,4700.2,5258.87,5944.4,6325.93,9550.860000000001,13871,14396,13170,12583,12795,12841,7832,8225.389999999999,7810,9570,12880,12440,11510,10410,8892,10258.2,13250,13894.12352,10209,12525.276632,22031.287644,19133,18799,23163,31304,46002.4,54613,60163.16,79298,45174.05,57052.586,73489,71866,64974,60061,34668,30026,35191,40882.917978
"          American Samoa",1,1,1,1,1,1,1,3.71,4.45,5.17,7.82,7.57,7.57,9,11,17,13,15,20.3,27.18,30.1,27.81,125,127,199,66.58,82.99,50,64.89,81.23,104.16,125,127,199,187,177,212,201,254,288,368,308,311,326.8,315.541,481.088,252,272,313,424,414.8,345.1,346.3,317.7,388.1,459.5,445.6,373.8,438.5,330.6,336.8,483.5,320,300,421.66,388.442,346.434,379,388,396.791032,430
"          Andorra","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",39.12,48.43,47.80314,46.242984,48.000384,57.858896,42.6806,45.329043,52.421237,63.752333,90.155985,123.209544,142.737553,165.37994,150.846157,139.099346,100.477876,92.318968,114.022713,105.949644,98.97799999999999,97.900361,89.368476,100.444655,120.090203,121.64068245
"          Angola",60,70,75,111,96,123,103,98,114,117,128,121,124,135,148,163,204,200,221,238,271,326,423,455,479,792,1202,1012,668,786,968,1091,1883,1856,1629,1822,2033,2245,1332,2168,2516,3015,3910,3410,3755,3762,3018,3642,5095,5006.76,3542.87,5156.53,7921,6534,8328,9508,13475,24109,31862.2,44396.2,63914,40827.9,50594.9,67310.3,71093.3,68246.518,59169.9,33181.130226,27588.9,34613.5,42124.041796
"          Anguilla","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1.2259259,1.7629629,1.6,3.5074074,2.9074,4.04,3.2,4.33,4.26,6.0259259,15.018518,12.274074,9.211111000000001,11.5,23.0671,12.674074,16.41,21.247162,5.008,5.249,10.78,7.183,10.538604,12.328144965
"          Antigua and Barbuda",1.409,1.674,3.109,1.684,3.806,3.682,1.516,2.871,3.613,4.073,3.159,2.81,2.191,2.264,2.533,3.662,2.145,1.44,0.283,1.106,6.577,5.584,10.923,16.32,18.03,25.715,28.711,19.817,9.029999999999999,6.552,12.537,36.741,26.278,39.815,21.252,19.737,17.589,16.682,19.585,19.448,17.004,15.933,20.663,49.5,64.69629999999999,62.0815,44.4481,53,38,38,36,38,52,41,39,45.004,57,83,74,59.352,65.45699999999999,50.81,45.715,56.151,62.959,68.965137,98.689539,66.289,85.452,208.333,87.161
"          Argentina",1629,1043.5,1177.5,1169.4,687.8,1125.1,1026.6,928.6,943.8,974.8,993.9,1009,1079.2,964.1,1216,1365.1,1410.4,1493.4,1593.2,1464.5,1367.9,1612.1,1773.2,1740.4,1941.2,3266,3930.7,2961.3,3916.1,5651.8,6399.5,7809.9,8021.4,9143,7624.9,7836.1,8107.4,8396.1,6852.2,6360.2,9134.799999999999,9579.299999999999,12352.5,11977.8,12234.9,13117.7,15839.213,20963.108,23810.717,26430.855,26433.698,23308.635,26341,26543,25650,29566,34575.7,40351,46546,55778.8,70018.3,55672.1,68187.3,84051.10000000001,79982.39999999999,75963.10000000001,68405,56784,57910,58622,61620
"          Armenia","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",82.90000000000001,156.2,215.5,270.9,290.3,232.55,220.5,232.2,294.2,343,505.16,685.6,722.9,973.9,985.1,1152.3,1057.2,710.2000000000001,1011.43,1334.3,1380.2,1479.9,1519.3,1485.331887,1791.72368,2245.38257,2412.1
