ECONOMY,"1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"ECONOMY",
"          Afghanistan",0.0835964147,0.0802124736,0.0857454721,0.0724596472,0.0564455592,0.05824316,0.056404109,0.063884771,0.0566578343,0.0409615473,0.0552407239,0.0423193857,0.0383911197,0.038916321,0.0404654436,0.0446460892,0.0365529227,0.0389535449,0.0325226541,0.0303570835,0.0295684666,0.0295535868,0.0268958738,0.0280913586,0.0291703009,0.0246117596,0.0272996407,0.0247851673,0.0293213927,0.0270703951,0.0244726119,0.0284869358,0.0326920865,0.0342448994,0.0372913349,0.0392244352,0.0321632757,0.0288412808,0.025778119,0.0203118611,0.0137291896,0.0076062705,0.0067254528,0.005374247,0.0047797061,0.0181922744,0.0024301537,0.0032081224,0.0023703443,0.0025782367,0.0028899317,0.0029048791,0.0021281034,0.0010976473,0.0015385122,0.0018972374,0.0033066745,0.0036562763,0.0034301442,0.0032380532,0.0033442934,0.0032131879,0.0025387546,0.0020494549,0.0023168116,0.0027175467,0.0030045334,0.0034564498,0.0037205151,0.0043986295,0.0044939013
"          Albania","..","..",0.0097070346,0.0108689471,0.0163064949,0.0136313779,0.011750856,0.0138417004,0.0182457432,0.025600967,0.0265404406,0.0288464137,0.0376232973,0.0359792401,0.0286048825,0.0306144611,0.0342523093,"..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.0089855658,0.009842309,0.0065795582,0.0028435169,0.0018485051,0.0032381984,0.00322979,0.0039029903,0.0038336239,0.0024823357,0.0037161373,0.0061275262,0.0040524971,0.0049586218,0.0052240181,0.0059018575,0.0065634779,0.0062651818,0.0065799401,0.0076855977,0.008389621,0.0086860353,0.0100940923,0.0106387286,0.0106305148,0.0123039518,0.0128023855,0.011672452,0.0122391059,0.0129784558,0.0147659283
"          Algeria",0.7126338443,0.5709011878,0.5391254648,0.4630521677,0.5207328615,0.4914371959,0.4713773647,0.4931297412,0.411832353,0.4120104871,0.4412256727,0.3101854863,0.3026464101,0.2697892308,0.1341080615,0.4839323544,0.4151111573,0.3357502616,0.2999365082,0.3306343966,0.341733168,0.3369357825,0.3170488239,0.2414661584,0.3106338127,0.3243730577,0.5562859647,0.5359059864,0.5293058921,0.5256329021,0.4827466712,0.5739610051,0.6765915167,0.7100833554,0.6940545497,0.6774101946,0.6502277018,0.653372063,0.3658166848,0.3264036638,0.2716963652,0.3085191516,0.3684552604,0.3537335064,0.3039470534,0.2752639199,0.2057993041,0.1981787406,0.244877917,0.248130412,0.1852932215,0.2188654697,0.3414476446,0.3088424468,0.2892249049,0.3051785352,0.3393840613,0.4380142819,0.4503136182,0.4291002476,0.4910432803,0.3597867146,0.3728403613,0.4007236761,0.3881996183,0.3428727716,0.3163473447,0.209708002,0.1872935693,0.198451502,0.209912237
"          American Samoa",0.0017060493,0.0017066484,0.0016178391,0.0012076608,0.0012543458,0.0012392162,0.0011750856,0.0039502083,0.0042733451,0.0045640345,0.0071567671,0.0064225692,0.0058124155,0.0066084319,0.0076744807,0.0108426217,0.0074213337,0.0079034651,0.0098012155,0.0124244169,0.0123922423,0.0100327789,0.0392892862,0.0358013301,0.047398464,0.0114422942,0.0098504225,0.0057008849,0.0065311862,0.0071827536,0.0079486958,0.0075119021,0.0061947316,0.0098156841,0.0098548368,0.0095288567,0.0107736047,0.0102272241,0.01186382,0.0114285469,0.0128020823,0.009929352,0.008896707,0.0092926133,0.0083325593,0.0127210537,0.0058323689,0.0052547832,0.0057846632,0.0075720714,0.0075286148,0.0060302439,0.0053670635,0.0051282729,0.0059709658,0.0060540317,0.0048309972,0.0035591564,0.0036156688,0.0023579304,0.0020855933,0.0038508143,0.0020912096,0.0016358517,0.002277687,0.0020498382,0.0018247028,0.0022925849,0.0024202326,0.0022376112,0.0022078234
"          Andorra","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.0010344212,0.0011208795,0.0009235115,0.0008546329,0.0008572225,0.0010501382,0.0007457967,0.0007025234,0.0008461769,0.0009808374,0.0011878285,0.0013357831,0.0013590832,0.0013636467,0.0010758764,0.0008613559,0.0008002516,0.0006033072,0.0006217475,0.0005723097,0.0005223145,0.0005156511,0.0005405932,0.0006265449,0.0006772209,0.0006245608
"          Angola",0.1023629567,0.1194653863,0.1213379322,0.1340503473,0.1204171929,0.152423589,0.1210338173,0.1043451259,0.1094744594,0.1032866601,0.1171440136,0.1026592957,0.0952099767,0.0991264779,0.1032566492,0.1039616077,0.1164578515,0.1053795345,0.1067028884,0.1087936436,0.1115713513,0.1176082679,0.1329549445,0.1282646078,0.11408977,0.1361113999,0.142670296,0.1153859109,0.0672342796,0.0695019617,0.0738703681,0.0655638818,0.0918478715,0.0915472845,0.0858477495,0.0980880056,0.103314804,0.1142294433,0.0622149929,0.0860315612,0.0875272797,0.0971980399,0.1118524898,0.0969639274,0.0991590952,0.0994757797,0.0698495614,0.0703600021,0.0941624896,0.0894140188,0.0643030459,0.0901047054,0.1227620844,0.105470995,0.1281272944,0.1252703671,0.1460899638,0.2295551172,0.2627210108,0.316645941,0.3957797197,0.325171996,0.3306391896,0.3670322206,0.3840257135,0.3601420996,0.3116538311,0.2007138723,0.1720916391,0.1951948243,0.2162847537
"          Anguilla","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",0.0000236837,0.0000325819,0.0000285739,0.0000636594,0.0000508036,0.0000626132,0.000051654,0.0000666176,0.0000561266,0.0000653304,0.0001429996,0.0001012064,0.0000656962,0.0000712124,0.0001837169,0.0000828255,0.0000894811,0.0001147711,0.0000264276,0.000027647,0.0000652086,0.0000448055,0.00005943,0.0000632985
"          Antigua and Barbuda",0.0024038234,0.0028569294,0.0050298618,0.0020337008,0.00477404,0.0045627939,0.0017814298,0.0030568863,0.0034695721,0.0035956117,0.0028910776,0.0023840712,0.0016822989,0.0016623877,0.0017672236,0.0023356283,0.0012245201,0.0007587326,0.0001366376,0.0005055705,0.0027077667,0.0020144925,0.003433255,0.0046006119,0.0042944437,0.0044193241,0.003407826,0.0022594887,0.0009088706,0.0005793599,0.0009567281,0.0022079584,0.0012817729,0.0019638767,0.0011199732,0.0010625483,0.0008938535,0.0008488087,0.0009147753,0.0007717444,0.0005915397,0.0005136505,0.0005911018,0.0014075409,0.0017084492,0.0016415751,0.0010287211,0.00102391,0.0007022914,0.000678629,0.0006533995,0.0006640083,0.0008059119,0.0006618168,0.0006000198,0.0005929394,0.0006179687,0.0007902889,0.0006101699,0.0004233148,0.0004053346,0.000404674,0.0002987489,0.0003061824,0.0003400865,0.0003639343,0.0005198078,0.0004009846,0.000533025,0.0011748457,0.0004475258
"          Argentina",2.7791542752,1.7808875794,1.9050055359,1.4122385238,0.8627390132,1.3942421134,1.2063428818,0.9887233051,0.9063332876,0.8605456091,0.9096049616,0.856059747,0.8286339265,0.7079099065,0.8483789553,0.8706625191,0.8051576164,0.7868689838,0.7692264332,0.6694466012,0.5631677173,0.5815837077,0.5573420983,0.4906191724,0.4623612977,0.5612876667,0.4665508589,0.3376406105,0.3941559316,0.49975978,0.4883609718,0.4693376359,0.3912631528,0.4509788913,0.4018296535,0.4218591771,0.4120090715,0.4272079416,0.3200522329,0.2523883466,0.3177838613,0.3088189665,0.3533651866,0.3405907711,0.3230896441,0.3468616256,0.3665878333,0.404987458,0.4400542477,0.4720196226,0.4797712861,0.4072928286,0.4082408869,0.4284537222,0.3946283744,0.3895397216,0.3748543792,0.3842041782,0.3837968555,0.3978297831,0.4335798596,0.4433979675,0.4456060514,0.4583171056,0.4320420943,0.4008630935,0.3602960342,0.3434884962,0.3612259575,0.330585205,0.3163862239
